,mpfc_OTicc,mpfc_Repicc,mpfc_Skipicc
783163,1.4274412393569946,1.7499459981918335,1.4456512928009033
783158,1.852781891822815,3.3046703338623047,1.8949882984161377
783149,1.3789329528808594,2.5144524574279785,1.8314627408981323
783148,2.00532865524292,2.5543973445892334,2.7206642627716064
783147,3.4221112728118896,4.034217357635498,2.6696834564208984
783146,2.139035940170288,2.268364429473877,1.9075735807418823
783144,1.8797894716262817,1.3011869192123413,1.5859156847000122
783142,4.727151393890381,2.2669403553009033,2.598386526107788
783127,1.201132893562317,2.1661720275878906,1.3593405485153198
783126,3.291128635406494,2.9771735668182373,1.91598379611969
783150,2.7293777465820312,1.9700852632522583,3.34342360496521
783151,5.301057815551758,2.4909565448760986,2.0167346000671387
783152,2.7293546199798584,1.6136053800582886,1.6619086265563965
783153,2.1412031650543213,1.9927253723144531,2.01254940032959
783154,2.6735377311706543,1.5585720539093018,1.5617070198059082
783155,1.0925861597061157,1.8570919036865234,1.6679058074951172
783157,9.583915710449219,1.5987823009490967,3.2085633277893066
783132,2.200256586074829,1.4502549171447754,1.983064889907837
783133,4.899856090545654,1.8634161949157715,2.507040500640869
783130,3.0810585021972656,3.1659440994262695,2.8076796531677246
783131,5.047004222869873,2.0550599098205566,1.6947379112243652
783136,1.6044797897338867,2.027278184890747,2.0133330821990967
783137,1.7264039516448975,1.7019257545471191,3.202268123626709
783135,2.4840052127838135,2.5112736225128174,1.9439736604690552
783138,1.6362754106521606,1.513788104057312,3.84212589263916
783139,1.7010051012039185,0.9247855544090271,1.4370067119598389
